description,category,severity,safety_risk
Покривот ми го оштетил кабелот при реновирање,MECHANICAL,MEDIUM,False
"Tree growing close to wire near Лисиче, just flagging it",OTHER,LOW,False
"Pole slightly tilted near Нерези, needs inspection",MECHANICAL,MEDIUM,False
"Smoke from electrical cabinet near Ѓуро Стругар, around 5 alarmed residents emergency!",ELECTRICAL,HIGH,True
"App slightly slower than usual, minor performance issue",SOFTWARE,LOW,False
"Загубивме читање од 19 бројачи во Кисела Вода, неколку часа без податок",NETWORK,HIGH,False
Анкерот на столбот е ослабнат по последните дождови,MECHANICAL,MEDIUM,False
"Fire visible near power line on Питу Гули, unidentified origin, please send crew",OTHER,CRITICAL,True
Столбот е малку поместен – можеби го удрило возило,MECHANICAL,MEDIUM,False
Animal (куче?) found stuck near transformer at Центар,OTHER,MEDIUM,False
"Гулаб направил гнездо во ормарот, дали е проблем?",OTHER,MEDIUM,False
Столбот е малку поместен – можеби го удрило возило,MECHANICAL,MEDIUM,False
Application crashes when filtering faults by date range,SOFTWARE,MEDIUM,False
"Жива жица паднала на Борис Кидрич по бурата, луѓе наоколу, ИТНО!!!",MECHANICAL,CRITICAL,True
"RTU на ТС Центар не одговара воопшто, немаме никаква телеметрија!",NETWORK,CRITICAL,False
"Жицата скинала по ветерот, виси многу ниско над Гоце Делчев – опасно!",MECHANICAL,CRITICAL,False
"All RTUs offline simultaneously, zero telemetry from any point in the grid",NETWORK,CRITICAL,False
"Трансформаторот малку вибрира, не е нова состојба",MECHANICAL,LOW,False
"Трафо Т-208 gori, искри летаат, соседите бегаат!!!",ELECTRICAL,CRITICAL,True
"Date format incorrect in exported reports, wrong locale",SOFTWARE,LOW,False
Бројачот за струја прави чуден звук кај нас,ELECTRICAL,MEDIUM,False
"Диспечерскиот dashboard целосно не работи, не можеме да управуваме!",SOFTWARE,CRITICAL,False
"Светлото во подземна гаража не работи, може полека",ELECTRICAL,LOW,False
"Прекин кај 100 домаќинства на Васил Ѓоргов, средна зона",ELECTRICAL,MEDIUM,False
Телеметријата со Т-512 го губи пакет еднаш на час,NETWORK,MEDIUM,False
Падна столб од далекуводот по бурата кај Арачиново помогнете!,MECHANICAL,HIGH,False
"Complete SCADA failure, dispatchers operating blind, all substations unreachable",NETWORK,CRITICAL,False
"Нешто изгледа различно кај ормарот на Видое Смилевски, не знам точно",OTHER,LOW,False
"Мирис на горење и чад, не знам дали е струја, ве молам итно!",OTHER,CRITICAL,True
RTU at Т-301 dropping packets intermittently since last night,NETWORK,MEDIUM,False
"Lights flickering all evening, cannot identify cause",ELECTRICAL,MEDIUM,False
"Circuit breaker keeps tripping, replaced fuse twice already",ELECTRICAL,MEDIUM,False
"Комуникациска грешка, сама се поправила, само пријавувам",NETWORK,LOW,False
"Tree branch hit power line on Питу Гули, line sagging dangerously low",MECHANICAL,HIGH,False
"Hallway light not working in building, can wait",ELECTRICAL,LOW,False
"Collapsed pole near school on Страшо Пинџур, immediate danger to children",MECHANICAL,CRITICAL,False
"Загуба на пакети кај RTU на Т-117, мрежата нестабилна",NETWORK,MEDIUM,False
"Telemetry врска изгубена со ТС Чаир, не можеме да мониторираме",NETWORK,HIGH,False
Fault list only shows 10 rows regardless of filter settings,SOFTWARE,MEDIUM,False
"Жива жица виси до детско игралиште кај Бутел, итно!!!",OTHER,CRITICAL,True
Transformer Т-208 buzzing loudly and smells of burning URGENT!,ELECTRICAL,HIGH,False
"Sensor B-212 sending garbage data, suspected hardware failure",NETWORK,HIGH,False
"Нешто чудно кај мерачот, не знам дали е нормално",OTHER,MEDIUM,False
"Hallway light not working in building, can wait",ELECTRICAL,LOW,False
Password reset link expired immediately after generation,SOFTWARE,MEDIUM,False
Slightly higher meter reading than usual this month,ELECTRICAL,LOW,False
"Button visually misaligned in UI, cosmetic only",SOFTWARE,LOW,False
Password reset link expired immediately after generation,SOFTWARE,MEDIUM,False
"Dispatch interface not loading, blank screen after login",SOFTWARE,HIGH,False
Smoke and smell of горена пластика near electrical cabinet on Гоце Делчев,OTHER,HIGH,True
